"year","month","region","mean_del","n_all","n_del","p","dt.str","date"
2003,6,"Alaska",0.409449573428729,23535,135,0.00573613766730402,"2003-6-1",2003-06-01
2003,6,"Central",0.569950006595082,42589,766,0.0179858648946911,"2003-6-1",2003-06-01
2003,6,"Hawaii",0.427188224897697,13691,136,0.00993353297786867,"2003-6-1",2003-06-01
2003,6,"Northeast",0.487520010978543,58402,511,0.00874970035272765,"2003-6-1",2003-06-01
2003,6,"NorthRockies",9.47353142597622,74116,2308,0.0311403745480058,"2003-6-1",2003-06-01
2003,6,"Northwest",0.735647904206274,9336,82,0.00878320479862896,"2003-6-1",2003-06-01
2003,6,"South",0.613884347268092,45485,938,0.020622183137298,"2003-6-1",2003-06-01
2003,6,"Southeast",0.321911841328399,111843,718,0.00641971334817557,"2003-6-1",2003-06-01
2003,6,"Southwest",0.370585803913583,23339,292,0.0125112472685205,"2003-6-1",2003-06-01
2003,6,"UpperMidwest",0.476076335407909,74796,616,0.00823573453125836,"2003-6-1",2003-06-01
2003,6,"West",0.481038833412497,55992,467,0.00834047721103015,"2003-6-1",2003-06-01
2003,6,NA,0.813447515706092,3372,32,0.00948991696322657,"2003-6-1",2003-06-01
2003,7,"Alaska",0.867332181753843,24429,451,0.0184616644152442,"2003-7-1",2003-07-01
2003,7,"Central",0.88287657004104,44605,754,0.0169039345364869,"2003-7-1",2003-07-01
2003,7,"Hawaii",0.387073652172125,14270,184,0.0128941836019622,"2003-7-1",2003-07-01
2003,7,"Northeast",0.594535820740413,60817,550,0.00904352401466695,"2003-7-1",2003-07-01
2003,7,"NorthRockies",0.88672246451033,77204,1721,0.022291591109269,"2003-7-1",2003-07-01
2003,7,"Northwest",0.671694265736054,9832,97,0.00986574450772986,"2003-7-1",2003-07-01
2003,7,"South",0.517416661234459,47506,877,0.0184608260009262,"2003-7-1",2003-07-01
2003,7,"Southeast",0.543510592232585,116200,1794,0.0154388984509466,"2003-7-1",2003-07-01
2003,7,"Southwest",0.70268764379438,24349,264,0.0108423343874492,"2003-7-1",2003-07-01
2003,7,"UpperMidwest",0.837038308432977,77995,1095,0.0140393614975319,"2003-7-1",2003-07-01
2003,7,"West",4.54714458274254,57740,815,0.0141149982680984,"2003-7-1",2003-07-01
2003,7,NA,0.847727986765264,3621,51,0.0140845070422535,"2003-7-1",2003-07-01
2003,8,"Alaska",0.617229201593617,24334,353,0.0145064518780307,"2003-8-1",2003-08-01
2003,8,"Central",0.675753977651426,44696,823,0.0184132808304994,"2003-8-1",2003-08-01
2003,8,"Hawaii",0.752290314425172,14266,230,0.0161222487032104,"2003-8-1",2003-08-01
2003,8,"Northeast",0.483502873956002,60438,574,0.00949733611304146,"2003-8-1",2003-08-01
2003,8,"NorthRockies",0.725013064674026,76927,2777,0.0360991589428939,"2003-8-1",2003-08-01
2003,8,"Northwest",0.424877506837463,9827,77,0.00783555510328686,"2003-8-1",2003-08-01
2003,8,"South",0.814301553542385,46714,722,0.0154557520229482,"2003-8-1",2003-08-01
2003,8,"Southeast",0.613782992821834,115806,1750,0.0151114795433743,"2003-8-1",2003-08-01
2003,8,"Southwest",0.745484257318237,24282,496,0.0204266534881805,"2003-8-1",2003-08-01
2003,8,"UpperMidwest",0.507264329036884,77927,954,0.0122422266993468,"2003-8-1",2003-08-01
2003,8,"West",0.751083752614035,58039,661,0.0113888936749427,"2003-8-1",2003-08-01
2003,8,NA,1.04835605414038,3728,59,0.0158261802575107,"2003-8-1",2003-08-01
2003,9,"Alaska",0.383116362810491,23060,84,0.00364267129228101,"2003-9-1",2003-09-01
2003,9,"Central",0.401705600554728,41687,445,0.0106747907021374,"2003-9-1",2003-09-01
2003,9,"Hawaii",0.205215468983997,13589,53,0.00390021340790345,"2003-9-1",2003-09-01
2003,9,"Northeast",0.638640154688773,56711,270,0.00476098111477491,"2003-9-1",2003-09-01
2003,9,"NorthRockies",0.431849353831549,73675,1020,0.0138445877163217,"2003-9-1",2003-09-01
2003,9,"Northwest",0.561437276440228,8978,60,0.00668300289596792,"2003-9-1",2003-09-01
2003,9,"South",0.327671101618795,44680,454,0.0101611459265891,"2003-9-1",2003-09-01
2003,9,"Southeast",0.226322706049865,109206,550,0.00503635331392048,"2003-9-1",2003-09-01
2003,9,"Southwest",0.19195003868694,22779,162,0.00711181351244567,"2003-9-1",2003-09-01
2003,9,"UpperMidwest",0.459826815716081,73757,319,0.00432501321908429,"2003-9-1",2003-09-01
2003,9,"West",0.225114940186417,56015,216,0.0038561099705436,"2003-9-1",2003-09-01
2003,9,NA,0.631062539397743,3577,33,0.00922560805143975,"2003-9-1",2003-09-01
2003,10,"Alaska",0.55412766517433,24394,49,0.00200869066163811,"2003-10-1",2003-10-01
2003,10,"Central",0.256487701219617,43608,211,0.00483856173179233,"2003-10-1",2003-10-01
2003,10,"Hawaii",0.787450869356599,14198,70,0.00493027186927736,"2003-10-1",2003-10-01
2003,10,"Northeast",0.253675118406749,58804,168,0.00285694850690429,"2003-10-1",2003-10-01
2003,10,"NorthRockies",0.488147168054213,77235,448,0.00580047905742215,"2003-10-1",2003-10-01
2003,10,"Northwest",0.561667687374782,9108,58,0.00636802810715854,"2003-10-1",2003-10-01
2003,10,"South",0.398537108037746,46653,361,0.00773798040854822,"2003-10-1",2003-10-01
2003,10,"Southeast",0.503793449753301,114070,454,0.0039800122731656,"2003-10-1",2003-10-01
2003,10,"Southwest",0.251033343610194,24439,108,0.0044191660869921,"2003-10-1",2003-10-01
2003,10,"UpperMidwest",0.130025136609162,77678,284,0.00365611884960993,"2003-10-1",2003-10-01
2003,10,"West",0.462807125634207,58471,175,0.00299293666946007,"2003-10-1",2003-10-01
2003,10,NA,0.603928910582806,3712,20,0.00538793103448276,"2003-10-1",2003-10-01
2003,11,"Alaska",0.495311554555493,23025,101,0.00438653637350706,"2003-11-1",2003-11-01
2003,11,"Central",0.532163846505846,42437,542,0.0127718736008672,"2003-11-1",2003-11-01
2003,11,"Hawaii",1.07533876290245,13294,112,0.00842485331728599,"2003-11-1",2003-11-01
2003,11,"Northeast",0.322499976162942,52759,262,0.00496597736879016,"2003-11-1",2003-11-01
2003,11,"NorthRockies",1.26606505712133,73914,1087,0.0147062802716671,"2003-11-1",2003-11-01
2003,11,"Northwest",0.572192446031651,8319,72,0.00865488640461594,"2003-11-1",2003-11-01
2003,11,"South",0.595095751052471,46567,557,0.0119612601198273,"2003-11-1",2003-11-01
2003,11,"Southeast",0.456690793262315,110121,1784,0.0162003614206191,"2003-11-1",2003-11-01
2003,11,"Southwest",0.892686297556755,23657,337,0.0142452551041975,"2003-11-1",2003-11-01
2003,11,"UpperMidwest",0.403282131055928,75571,465,0.00615315398764076,"2003-11-1",2003-11-01
2003,11,"West",0.640559767254364,54996,362,0.00658229689431959,"2003-11-1",2003-11-01
2003,11,NA,1.21116545719095,3511,41,0.0116775847336941,"2003-11-1",2003-11-01
2003,12,"Alaska",0.688883435231576,24020,165,0.00686927560366361,"2003-12-1",2003-12-01
2003,12,"Central",0.510726862990454,45036,485,0.0107691624478195,"2003-12-1",2003-12-01
2003,12,"Hawaii",0.915429790621453,13991,232,0.0165820884854549,"2003-12-1",2003-12-01
2003,12,"Northeast",0.766760574851337,55793,905,0.0162206728442636,"2003-12-1",2003-12-01
2003,12,"NorthRockies",0.736947075439135,77348,1056,0.0136525831307855,"2003-12-1",2003-12-01
2003,12,"Northwest",1.14361516710546,8677,109,0.0125619453728247,"2003-12-1",2003-12-01
2003,12,"South",1.22634832184846,49467,591,0.0119473588452908,"2003-12-1",2003-12-01
2003,12,"Southeast",0.830196578050516,115746,1744,0.0150674753339208,"2003-12-1",2003-12-01
2003,12,"Southwest",0.788082729600102,25016,587,0.0234649824112568,"2003-12-1",2003-12-01
2003,12,"UpperMidwest",0.316401237707386,79174,925,0.0116831282996943,"2003-12-1",2003-12-01
2003,12,"West",0.551511151544012,57511,835,0.0145189615899567,"2003-12-1",2003-12-01
2003,12,NA,1.78410180443487,3716,62,0.0166846071044133,"2003-12-1",2003-12-01
2004,1,"Alaska",1.15131419704861,25069,382,0.0152379432765567,"2004-1-1",2004-01-01
2004,1,"Central",1.12313597098337,45812,609,0.013293460228761,"2004-1-1",2004-01-01
2004,1,"Hawaii",0.57221605330166,14471,291,0.0201091838850114,"2004-1-1",2004-01-01
2004,1,"Northeast",0.890010101946283,57659,700,0.0121403423576545,"2004-1-1",2004-01-01
2004,1,"NorthRockies",1.35217181222157,88385,2670,0.030208745827912,"2004-1-1",2004-01-01
2004,1,"Northwest",0.860486339210508,8935,108,0.0120872971460548,"2004-1-1",2004-01-01
2004,1,"South",1.2401256191342,51183,830,0.0162163218256062,"2004-1-1",2004-01-01
2004,1,"Southeast",0.955840670870882,118496,4055,0.0342205644072374,"2004-1-1",2004-01-01
2004,1,"Southwest",1.67431497593638,25506,686,0.0268956324002196,"2004-1-1",2004-01-01
2004,1,"UpperMidwest",0.813325084521917,82477,1421,0.0172290456733392,"2004-1-1",2004-01-01
2004,1,"West",0.956433712045822,61982,1352,0.0218127843567487,"2004-1-1",2004-01-01
2004,1,NA,2.08606079281782,4012,111,0.027666999002991,"2004-1-1",2004-01-01
2004,2,"Alaska",0.888777522054056,23806,290,0.0121818029068302,"2004-2-1",2004-02-01
2004,2,"Central",1.10632000902876,43666,603,0.0138093711354372,"2004-2-1",2004-02-01
2004,2,"Hawaii",0.769492089112999,13727,166,0.0120929554891819,"2004-2-1",2004-02-01
2004,2,"Northeast",0.766825192129063,54871,547,0.00996883599715697,"2004-2-1",2004-02-01
2004,2,"NorthRockies",0.922389914283379,83344,2378,0.028532347859474,"2004-2-1",2004-02-01
2004,2,"Northwest",1.25517735466092,8482,98,0.0115538788021693,"2004-2-1",2004-02-01
2004,2,"South",1.20037503122903,48360,607,0.0125516956162117,"2004-2-1",2004-02-01
2004,2,"Southeast",0.708095789199306,111812,1665,0.0148910671484277,"2004-2-1",2004-02-01
2004,2,"Southwest",2.10745078845171,24814,284,0.0114451519303619,"2004-2-1",2004-02-01
2004,2,"UpperMidwest",0.556894556913003,78261,787,0.0100560943509539,"2004-2-1",2004-02-01
2004,2,"West",0.951396824543374,58868,1778,0.0302031664061969,"2004-2-1",2004-02-01
2004,2,NA,1.51394683318085,3865,91,0.0235446313065977,"2004-2-1",2004-02-01
2004,3,"Alaska",0.477649709285051,25960,200,0.00770416024653313,"2004-3-1",2004-03-01
2004,3,"Central",0.422148200922042,47455,418,0.00880834474765567,"2004-3-1",2004-03-01
2004,3,"Hawaii",0.262267179363624,14895,79,0.00530379321920107,"2004-3-1",2004-03-01
2004,3,"Northeast",0.395896428008871,59669,248,0.00415626204561833,"2004-3-1",2004-03-01
2004,3,"NorthRockies",0.37851647120344,90612,1164,0.0128459806648126,"2004-3-1",2004-03-01
2004,3,"Northwest",0.949776218022516,9341,63,0.00674445990793277,"2004-3-1",2004-03-01
2004,3,"South",0.38025520442287,52528,339,0.00645370088333841,"2004-3-1",2004-03-01
2004,3,"Southeast",0.381063408143058,120783,1680,0.0139092421946797,"2004-3-1",2004-03-01
2004,3,"Southwest",0.214646469588873,27299,339,0.0124180372907433,"2004-3-1",2004-03-01
2004,3,"UpperMidwest",0.342000297618353,85127,721,0.00846969821560727,"2004-3-1",2004-03-01
2004,3,"West",0.475932369092746,63701,683,0.0107219666881211,"2004-3-1",2004-03-01
2004,3,NA,0.277907375020465,4042,30,0.0074220682830282,"2004-3-1",2004-03-01
2004,4,"Alaska",0.315100699687041,25361,112,0.00441622964394149,"2004-4-1",2004-04-01
2004,4,"Central",0.754638338163944,45038,518,0.0115013988187753,"2004-4-1",2004-04-01
2004,4,"Hawaii",0.477701691757471,14536,119,0.00818657127132636,"2004-4-1",2004-04-01
2004,4,"Northeast",0.308570429075824,57306,278,0.00485114996684466,"2004-4-1",2004-04-01
2004,4,"NorthRockies",0.531186416181956,88010,1216,0.0138166117486649,"2004-4-1",2004-04-01
2004,4,"Northwest",0.434711937774661,9105,49,0.00538165842943438,"2004-4-1",2004-04-01
2004,4,"South",0.375933244356844,50589,512,0.0101207772440649,"2004-4-1",2004-04-01
2004,4,"Southeast",0.224775819958644,117070,931,0.00795250704706586,"2004-4-1",2004-04-01
2004,4,"Southwest",0.180399928493919,26319,280,0.0106387020783464,"2004-4-1",2004-04-01
2004,4,"UpperMidwest",0.292095695074474,83045,490,0.00590041543741345,"2004-4-1",2004-04-01
2004,4,"West",0.226168007727813,62528,623,0.0099635363357216,"2004-4-1",2004-04-01
2004,4,NA,0.599291836693681,4063,42,0.010337189269013,"2004-4-1",2004-04-01
2004,5,"Alaska",0.86003263338218,25609,359,0.0140185091178882,"2004-5-1",2004-05-01
2004,5,"Central",0.83635918644235,46306,827,0.0178594566578845,"2004-5-1",2004-05-01
2004,5,"Hawaii",0.679053958828673,14952,273,0.0182584269662921,"2004-5-1",2004-05-01
2004,5,"Northeast",0.703060949940858,58437,399,0.00682786590687407,"2004-5-1",2004-05-01
2004,5,"NorthRockies",1.09799607397494,89658,2263,0.0252403578041,"2004-5-1",2004-05-01
2004,5,"Northwest",1.01067764388285,9517,99,0.0104024377429862,"2004-5-1",2004-05-01
2004,5,"South",1.00550352442774,51984,1180,0.0226992920898738,"2004-5-1",2004-05-01
2004,5,"Southeast",0.643464820350749,119304,2295,0.0192365721182861,"2004-5-1",2004-05-01
2004,5,"Southwest",0.656323001197279,25775,408,0.0158292919495635,"2004-5-1",2004-05-01
2004,5,"UpperMidwest",0.829018496580824,84476,880,0.0104171599034045,"2004-5-1",2004-05-01
2004,5,"West",1.0772430915398,64187,1530,0.0238366024272828,"2004-5-1",2004-05-01
2004,5,NA,0.709362458141857,4252,61,0.014346190028222,"2004-5-1",2004-05-01
2004,6,"Alaska",1.44050608849631,25498,421,0.0165110989097184,"2004-6-1",2004-06-01
2004,6,"Central",7.15486079205792,45683,1004,0.0219775408795394,"2004-6-1",2004-06-01
2004,6,"Hawaii",0.634713165451902,14849,216,0.0145464341033066,"2004-6-1",2004-06-01
2004,6,"Northeast",1.21947705722265,58102,797,0.0137172558603835,"2004-6-1",2004-06-01
2004,6,"NorthRockies",2.16896784520491,88852,5068,0.0570386710484851,"2004-6-1",2004-06-01
2004,6,"Northwest",1.580470794682,9816,135,0.0137530562347188,"2004-6-1",2004-06-01
2004,6,"South",1.15203777771784,51041,2068,0.0405164475617641,"2004-6-1",2004-06-01
2004,6,"Southeast",2.26314465249918,117328,1967,0.0167649665893904,"2004-6-1",2004-06-01
