"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
7866,"13Z","seaplane_base","Loring Seaplane Base",55.6012992859,-131.636993408,0,NA,"US","US-AK","Loring","no","13Z","WLR","13Z","","",""
7977,"16A","small_airport","Nunapitchuk Airport",60.9057998657,-162.438995361,12,NA,"US","US-AK","Nunapitchuk","no","16A","NUP","16A","","http://en.wikipedia.org/wiki/Nunapitchuk_Airport",""
8126,"19AK","small_airport","Icy Bay Airport",59.96900177,-141.662002563,50,NA,"US","US-AK","Icy Bay","no","19AK","ICY","19AK","","http://en.wikipedia.org/wiki/Icy_Bay_Airport",""
8383,"1KC","small_airport","Kalakaket Creek AS Airport",64.4166256967,-156.820392609,1598,NA,"US","US-AK","Kalakaket Creek","no","1KC","KKK","1KC","","",""
9291,"2AK3","heliport","Five Finger CG Heliport",57.2699012756,-133.630996704,48,NA,"US","US-AK","Five Finger","no","2AK3","FIV","2AK3","","",""
9294,"2AK6","small_airport","Hog River Airport",66.2161026,-155.6690063,534,NA,"US","US-AK","Hogatza","no","2AK6","HGZ","2AK6","","",""
9906,"2Z6","seaplane_base","False Island Seaplane Base",57.5321998596,-135.212997437,NA,NA,"US","US-AK","False Island","no","2Z6","FAK","2Z6","","",""
10309,"38WA","small_airport","Blakely Island Airport",48.5789985657,-122.825996399,66,NA,"US","US-WA","Blakely Island","no","38WA","BYW","38WA","","",""
10532,"3IS8","small_airport","Rinkenberger Restricted Landing Area",41.2308998108,-89.6156997681,808,NA,"US","US-IL","Bradford","no","3IS8","BDF","3IS8","","",""
10905,"3Z8","seaplane_base","Golden Horn Lodge Seaplane Base",59.7470016479,-158.875,91,NA,"US","US-AK","Golden Horn Lodge","no","3Z8","GDH","3Z8","","",""
11318,"4A2","small_airport","Atmautluak Airport",60.8666992188,-162.272994995,17,NA,"US","US-AK","Atmautluak","no","4A2","ATT","4A2","","http://en.wikipedia.org/wiki/Atmautluak_Airport",""
11485,"4K0","small_airport","Pedro Bay Airport",59.7896003723,-154.12399292,45,NA,"US","US-AK","Pedro Bay","no","4K0","PDB","4K0","","",""
11728,"4TE8","closed","Ben Bruce Memorial Airpark",30.3209991455,-94.0735015869,44,NA,"US","US-TX","Evadale","no","4TE8","EVA","4TE8","","",""
11776,"4W6","closed","Blaine Municipal Airport",48.9901008606,-122.732002258,75,NA,"US","US-WA","Blaine","no","4W6","BWS","4W6","","",""
11820,"4Z7","seaplane_base","Hyder Seaplane Base",55.9033244038,-130.009975433,NA,NA,"US","US-AK","Hyder","no","4Z7","WHD","4Z7","","http://en.wikipedia.org/wiki/Hyder_Seaplane_Base",""
12114,"57A","seaplane_base","Tokeen Seaplane Base",55.9370994568,-133.32699585,NA,NA,"US","US-AK","Tokeen","no","57A","TKI","57A","","http://en.wikipedia.org/wiki/Tokeen_Seaplane_Base",""
12243,"5A8","medium_airport","Aleknagik / New Airport",59.2826004028,-158.617996216,66,NA,"US","US-AK","Aleknagik","yes","5A8","WKK","5A8","","http://en.wikipedia.org/wiki/Aleknagik_Airport",""
12429,"5KE","seaplane_base","Ketchikan Harbor Seaplane Base",55.349899292,-131.677001953,0,NA,"US","US-AK","Ketchikan","no","5KE","WFB","5KE","","http://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base",""
12995,"65LA","small_airport","Southern Seaplane Airport",29.8661003113,-90.0222015381,NA,NA,"US","US-LA","Belle Chasse","no","65LA","BCS","65LA","http://southernseaplane.com/cms/?page_id=460","http://en.wikipedia.org/wiki/Southern_Seaplane_Airport",""
13405,"6N5","heliport","East 34th Street Heliport",40.7425994873047,-73.9720993041992,10,NA,"US","US-NY","New York","yes","6N5","TSS","6N5","","",""
13407,"6N7","seaplane_base","New York Skyports Inc Seaplane Base",40.7340011597,-73.9729003906,0,NA,"US","US-NY","New York","no","6N7","QNY","6N7","","http://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base",""
13485,"6OK6","small_airport","Earl Henry Airport",36.7958984375,-97.3170013428,1054,NA,"US","US-OK","Blackwell","no","6OK6","BWL","6OK6","","http://en.wikipedia.org/wiki/Earl_Henry_Airport",""
13974,"78K","seaplane_base","Yes Bay Lodge Seaplane Base",55.9163017273,-131.800994873,NA,NA,"US","US-AK","Yes Bay","no","78K","WYB","78K","","",""
14173,"7KA","small_airport","Tatitlek Airport",60.8689003,-146.6860046,62,NA,"US","US-AK","Tatitlek","no","","TEK","7KA","","http://en.wikipedia.org/wiki/Tatitlek_Airport",""
14270,"7NC2","small_airport","Pine Island Airport",36.2535018921,-75.7884979248,16,NA,"US","US-NC","Corolla","no","7NC2","DUF","7NC2","","http://en.wikipedia.org/wiki/Pine_Island_Airport",""
14559,"82CL","small_airport","Fort Bragg Airport",39.4743003845,-123.79599762,71,NA,"US","US-CA","Fort Bragg","no","82CL","FOB","82CL","","",""
14633,"84CL","heliport","Century City Heliport",34.060798645,-118.417999268,473,NA,"US","US-CA","Los Angeles","no","84CL","CCD","84CL","","",""
14642,"84K","seaplane_base","Meyers Chuck Seaplane Base",55.7396011353,-132.255004883,0,NA,"US","US-AK","Meyers Chuck","no","84K","WMK","84K","","",""
15300,"90WA","small_airport","Waldronaire Airport",48.7117996216,-123.017997742,140,NA,"US","US-WA","East Sound","no","90WA","WDN","90WA","","",""
15514,"96Z","seaplane_base","North Whale Seaplane Base",56.1162986755,-133.121994019,NA,NA,"US","US-AK","North Whale Pass","no","96Z","WWP","96Z","","",""
15640,"9A3","small_airport","Chuathbaluk Airport",61.57910156,-159.2160034,244,NA,"US","US-AK","Chuathbaluk","no","PACH","CHU","9A3","","",""
16069,"9Z8","small_airport","Levelock Airport",59.1281013489,-156.85899353,39,NA,"US","US-AK","Levelock","no","9Z8","KLL","9Z8","","http://en.wikipedia.org/wiki/Levelock_Airport",""
16074,"A23","seaplane_base","Saginaw Seaplane Base",56.8862991333,-134.158004761,0,NA,"US","US-AK","Saginaw Bay","no","A23","SGW","A23","","http://en.wikipedia.org/wiki/Saginaw_Seaplane_Base",""
16082,"A61","small_airport","Tuntutuliak Airport",60.3353004456,-162.667007446,16,NA,"US","US-AK","Tuntutuliak","no","A61","WTL","A61","","http://en.wikipedia.org/wiki/Tuntutuliak_Airport",""
299321,"AHT","closed","Amchitka Army Airfield",51.3777777778,179.259166667,215,NA,"US","US-AK","Amchitka Island","no","PAHT","AHT","","","http://en.wikipedia.org/wiki/Amchitka_Army_Airfield","Constantine Harbor"
16108,"AK13","small_airport","Chena Hot Springs Airport",65.0518035889,-146.04699707,1195,NA,"US","US-AK","Chena Hot Springs","no","AK13","CEX","AK13","","",""
16125,"AK33","small_airport","Herendeen Bay Airport",55.801399231,-160.899002075,20,NA,"US","US-AK","Herendeen Bay","no","AK33","HED","AK33","","",""
16141,"AK49","small_airport","Taylor Airport",65.6792984009,-164.798995972,440,NA,"US","US-AK","Taylor","no","AK49","TWE","AK49","","",""
16155,"AK62","seaplane_base","Naukati Bay Seaplane Base",55.84960175,-133.2279968,NA,NA,"US","US-AK","Tuxekan Island","no","AK62","WNC","AK62","","http://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base","Nichin Cove Seaplane Base"
16165,"AK71","small_airport","Lonely Air Station",70.91069794,-153.2420044,17,NA,"US","US-AK","Lonely","no","PALN","LNI","AK71","","http://en.wikipedia.org/wiki/Lonely_Air_Station",""
16169,"AK75","small_airport","Candle 2 Airport",65.907699585,-161.925994873,15,NA,"US","US-AK","Candle","no","AK75","CDL","AK75","","",""
16174,"AK81","seaplane_base","Amook Bay Seaplane Base",57.4715003967,-153.815002441,NA,NA,"US","US-AK","Amook Bay","yes","AK81","AOS","AK81","","http://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base",""
16187,"AK96","small_airport","Bartletts Airport",58.2162017822,-157.352005005,50,NA,"US","US-AK","Egegik","no","AK96","BSZ","AK96","","",""
16188,"AK97","small_airport","Boswell Bay Airport",60.4230995178,-146.145996094,230,NA,"US","US-AK","Boswell Bay","no","AK97","BSW","AK97","","http://en.wikipedia.org/wiki/Boswell_Bay_Airport",""
16262,"AL73","small_airport","Sharpe Field",32.4919013977,-85.7755966187,253,NA,"US","US-AL","Tuskegee","no","AL73","TGE","AL73","","http://en.wikipedia.org/wiki/Sharpe_Field",""
16289,"ALZ","seaplane_base","Alitak Seaplane Base",56.8995018005,-154.248001099,NA,NA,"US","US-AK","Lazy Bay","no","","ALZ","ALZ","","http://en.wikipedia.org/wiki/Alitak_Seaplane_Base",""
16294,"AQY","small_airport","Girdwood Airport",60.9660987854,-149.12600708,150,NA,"US","US-AK","Girdwood","no","AQY","AQY","AQY","","",""
301832,"ARX","closed","Asbury Park Neptune Air Terminal",40.2193055556,-74.0908333333,95,NA,"US","US-NJ","Asbury Park","no","","ARX","","","","Schlossbach Field"
308669,"AUS","closed","Austin Robert Mueller Municipal",30.2987223546,-97.6997852325,NA,NA,"US","US-TX","","no","KAUS","AUS","","","",""
301768,"AYZ","closed","Zahn's Airport",40.71,-73.4,NA,NA,"US","US-NY","Amityville","no","","AYZ","","","",""
45961,"BBG","small_airport","Branson Airport",36.532082,-93.200544,1302,NA,"US","US-MO","Branson","yes","KBBG","BKG","BBG","http://flybranson.com/","http://en.wikipedia.org/wiki/Branson_Airport",""
301857,"BCJ","closed","Baca Grande Airfield",37.9647777778,-105.776666667,7620,NA,"US","US-CO","Crestone","no","","BCJ","","","",""
302039,"BLW","closed","Bellows AFS (Bellows Field)",21.3708333333,-157.713888889,5,NA,"US","US-HI","Waimanalo","no","","BLW","","","http://en.wikipedia.org/wiki/Bellows_Air_Force_Station",""
16502,"BNF","seaplane_base","Warm Spring Bay Seaplane Base",57.0887985229,-134.832992554,NA,NA,"US","US-AK","Baranof","no","","BNF","BNF","","","Baranof Warm Springs, Baranoff"
16503,"BOF","heliport","Bolling Air Force Base",38.8428993225,-77.0160980225,20,NA,"US","US-DC","Washington","no","","BOF","BOF","","http://en.wikipedia.org/wiki/Joint_Base_Anacostia-Bolling",""
16504,"BOK","small_airport","Brookings Airport",42.0746002197,-124.290000916,459,NA,"US","US-OR","Brookings","no","BOK","BOK","BOK","","http://en.wikipedia.org/wiki/Brookings_Airport",""
16505,"BQV","seaplane_base","Bartlett Cove Seaplane Base",58.4552001953,-135.884994507,NA,NA,"US","US-AK","Gustavus","no","BQV","BQV","BQV","","",""
302403,"BSI","small_airport","Blairsville",40.4447222222,-79.2886388889,1020,NA,"US","US-PA","Blairsville","no","","BSI","BSI","","",""
16506,"BYA","small_airport","Boundary Airport",64.0783004761,-141.113006592,2940,NA,"US","US-AK","Boundary","no","BYA","BYA","BYA","","",""
16708,"CDK","small_airport","George T Lewis Airport",29.1352567648,-83.0483901501,11,NA,"US","US-FL","Cedar Key","no","KCDK","CDK","CDK","","",""
16712,"CGA","seaplane_base","Craig Seaplane Base",55.4788017272949,-133.147994995117,NA,NA,"US","US-AK","Craig","no","CGA","CGA","CGA","","http://en.wikipedia.org/wiki/Craig_Seaplane_Base",""
16716,"CJX","small_airport","Crooked Creek Airport",61.8679008484,-158.134994507,178,NA,"US","US-AK","Crooked Creek","no","CJX","CKD","CJX","","http://en.wikipedia.org/wiki/Crooked_Creek_Airport",""
16718,"CKX","small_airport","Chicken Airport",64.0712966919,-141.95199585,1640,NA,"US","US-AK","Chicken","no","CKX","CKX","CKX","","",""
46092,"CLG","closed","Coalinga Airport",36.1580433385,-120.360116959,NA,NA,"US","US-CA","","no","","CLG","","","",""
17054,"CVH","small_airport","Hollister Municipal Airport",36.8932991028,-121.410003662,230,NA,"US","US-CA","Hollister","no","KCVH","HLI","CVH","http://www.hollister.ca.gov/site/html/gov/office/airport.asp","http://en.wikipedia.org/wiki/Hollister_Municipal_Airport","3O7"
311044,"CVR","closed","Hughes Airport",33.975,-118.417,17,NA,"US","US-U-A","Culver City","no","","CVR","","","http://en.wikipedia.org/wiki/Hughes_Airport_(California)",""
17080,"D66","small_airport","Delta Junction Airport",64.0503997803,-145.716995239,1150,NA,"US","US-AK","Delta Junction","no","D66","DJN","D66","","http://en.wikipedia.org/wiki/Delta_Junction_Airport",""
17113,"DCK","small_airport","Dahl Creek Airport",66.9432983398,-156.904998779,260,NA,"US","US-AK","Dahl Creek","no","DCK","DCK","DCK","","",""
46085,"DCR","small_airport","Decatur HI-Way Airfield",40.837548,-84.862464,842,NA,"US","US-IN","Decatur","no","","DCR","DCR","","http://en.wikipedia.org/wiki/Decatur_Hi-Way_Airport",""
300321,"DHB","seaplane_base","Deer Harbor SPB",48.6166666667,-123.002777778,NA,NA,"US","US-WA","Deer Harbor","no","","DHB","","","",""
