"year","month","origin","avg_del","n_flights","n_wdelay"
2003,3,"PIE",NA,215,0
2003,3,"FSM",NA,243,0
2003,8,"CMH",0.902390438247012,3012,3012
2003,3,"SGU",NA,301,0
2003,8,"VLD",2.79508196721311,122,122
2003,12,"TYS",0.463258785942492,939,939
2003,9,"GFK",0,59,59
2003,10,"SBP",1.92997811816193,457,457
2003,5,"MAF",NA,679,0
2003,5,"GEG",NA,1216,0
2003,2,"STL",NA,8852,0
2003,4,"ABE",NA,338,0
2003,5,"PBI",NA,1942,0
2003,5,"SAV",NA,759,0
2003,7,"MCI",0.363850225445991,5101,5101
2003,11,"XNA",0.72248243559719,854,854
2003,3,"LCH",NA,132,0
2003,11,"LIT",0.433561123766135,1317,1317
2003,12,"HOU",0.139621087314662,4856,4856
2003,2,"OTZ",NA,84,0
2003,6,"JAX",0.307950191570881,2088,2088
2003,11,"DAL",0.21420581655481,3576,3576
2003,3,"SAT",NA,3210,0
2003,2,"FSD",NA,196,0
2003,10,"PDX",0.155059962129182,4753,4753
2003,11,"ALB",0.264506405425772,1327,1327
2003,5,"MCN",NA,122,0
2003,7,"MDT",0.854082998661312,747,747
2003,3,"BTV",NA,604,0
2003,3,"PVD",NA,2368,0
2003,11,"DLH",3.46153846153846,78,78
2003,3,"PFN",NA,327,0
2003,3,"SCE",NA,124,0
2003,11,"CLT",0.0823272392779119,8697,8697
2003,3,"PIT",NA,5726,0
2003,6,"SWF",0,121,121
2003,8,"PSG",0,62,62
2003,7,"MOD",0,124,124
2003,1,"GTR",NA,275,0
2003,10,"AGS",0.191214470284238,387,387
2003,7,"RAP",0.67741935483871,403,403
2003,7,"MLI",1.20647773279352,247,247
2003,8,"AEX",0.88715953307393,257,257
2003,10,"OKC",0.170374115267947,1978,1978
2003,10,"ONT",0.591315876698707,3017,3017
2003,4,"BOS",NA,9321,0
2003,1,"JFK",NA,6660,0
2003,10,"IDA",0.418181818181818,275,275
2003,8,"DUT",0,62,62
2003,12,"FSD",0.0949367088607595,474,474
2003,5,"LGB",NA,908,0
2003,9,"ROC",0.152860802732707,1171,1171
2003,4,"BQN",NA,26,0
2003,5,"IYK",NA,88,0
2003,4,"BPT",NA,130,0
2003,8,"FCA",0,155,155
2003,9,"ADQ",1.1,60,60
2003,4,"LBB",NA,856,0
2003,6,"SJU",0.0565333333333333,1875,1875
2003,1,"BWI",NA,8114,0
2003,5,"OGG",NA,401,0
2003,9,"IAH",0.345764729220393,15123,15123
2003,11,"LYH",1.28089887640449,89,89
2003,2,"TYS",NA,776,0
2003,10,"ABI",0.889312977099237,262,262
2003,5,"BNA",NA,4665,0
2003,5,"ELP",NA,1663,0
2003,6,"MOB",1.0184331797235,434,434
2003,12,"STL",0.231161112290384,4711,4711
2003,11,"FAY",0.314685314685315,143,143
2003,3,"MEM",NA,4751,0
2003,10,"LAS",0.226124265056412,12586,12586
2003,1,"BMI",NA,186,0
2003,4,"GNV",NA,206,0
2003,3,"MSY",NA,4345,0
2003,6,"BTM",0,116,116
2003,4,"CMI",NA,145,0
2003,6,"LAX",0.0740861088545898,18465,18465
2003,10,"HRL",0.160751565762004,479,479
2003,2,"HOU",NA,4390,0
2003,5,"CID",NA,386,0
