"Region","month","n_ttl","n_del","p"
"Alaska",1,29864,547,0.0183163675328154
"Alaska",2,27282,369,0.0135254013635364
"Alaska",3,30395,357,0.0117453528540878
"Alaska",4,29409,152,0.00516848583766874
"Alaska",5,34256,119,0.00347384399813171
"Alaska",6,46451,148,0.00318615315063185
"Alaska",7,49890,227,0.00455001002204851
"Alaska",8,48884,323,0.00660747892971115
"Alaska",9,37531,262,0.00698089579281128
"Alaska",10,34790,301,0.00865191146881288
"Alaska",11,31453,481,0.0152926588878644
"Alaska",12,32910,582,0.0176845943482224
"Central",1,831775,26239,0.0315457906284752
"Central",2,770424,21947,0.0284869111034963
"Central",3,870650,15151,0.0174019410785046
"Central",4,847920,11441,0.013493018209265
"Central",5,872792,14087,0.0161401571050147
"Central",6,955068,18687,0.0195661460754627
"Central",7,979363,16972,0.0173296316074836
"Central",8,978841,14196,0.0145028661447569
"Central",9,907740,7345,0.00809152400467094
"Central",10,946768,7597,0.00802414107785645
"Central",11,886894,10010,0.0112865799069562
"Central",12,897157,30366,0.0338469186552632
"Hawaii",1,84487,91,0.00107708878288968
"Hawaii",2,77469,88,0.00113593824626625
"Hawaii",3,83067,94,0.00113161664680318
"Hawaii",4,84050,24,0.000285544318857823
"Hawaii",5,85325,48,0.000562554937005567
"Hawaii",6,92055,19,0.000206398348813209
"Hawaii",7,99112,30,0.00030268786827024
"Hawaii",8,97265,113,0.00116177453349098
"Hawaii",9,84121,11,0.000130764018497165
"Hawaii",10,86951,44,0.000506032133040448
"Hawaii",11,89143,81,0.000908652389980144
"Hawaii",12,94089,324,0.00344354812996206
"NorthRockies",1,62213,1021,0.0164113609695723
"NorthRockies",2,57523,760,0.0132121064617631
"NorthRockies",3,64016,640,0.00999750062484379
"NorthRockies",4,60979,442,0.0072483969891274
"NorthRockies",5,64421,456,0.00707843715558591
"NorthRockies",6,76752,637,0.00829945799457995
"NorthRockies",7,81907,605,0.00738642606858999
"NorthRockies",8,81707,578,0.00707405730231192
"NorthRockies",9,71190,372,0.00522545301306363
"NorthRockies",10,69624,443,0.00636274847753648
"NorthRockies",11,65303,542,0.00829977183284076
"NorthRockies",12,68524,1419,0.020708073083883
