"month","Region","n_ttl","n_del","p","N.h","se.p"
1,"Alaska",760,13,0.0171052631578947,29864,0.00464622084837384
1,"Central",20556,647,0.0314749951352403,831604,0.0012026645452854
1,"Hawaii",2134,1,0.000468603561387067,84487,0.000462647641479676
1,"Northeast",18379,373,0.0202949017900865,739887,0.00102714064378474
1,"NorthRockies",1514,23,0.0151915455746367,62213,0.00310604394984561
1,"Northwest",4265,46,0.0107854630715123,169003,0.00156172920774045
1,"Other",740,1,0.00135135135135135,31980,0.00133562507275882
1,"South",19366,348,0.0179696375090365,771294,0.000942543748904021
1,"Southeast",28892,356,0.0123217499653883,1153702,0.000640848563925096
1,"Southwest",13456,149,0.0110731272294887,535176,0.000890729449566671
1,"UpperMidwest",8024,132,0.0164506480558325,317368,0.00140204020843592
1,"West",20115,132,0.00656226696495153,805144,0.000562152465538812
2,"Alaska",639,6,0.00938967136150235,27282,0.00377328616110596
2,"Central",19176,536,0.0279516061743846,770266,0.00117545299614734
2,"Hawaii",1941,2,0.00103039670273055,77469,0.000719229545023945
2,"Northeast",17276,325,0.0188122250520954,688873,0.00102063841695102
2,"NorthRockies",1441,22,0.0152671755725191,57523,0.0031904231942072
2,"Northwest",3811,28,0.00734715297822094,154231,0.00136635233920096
2,"Other",708,1,0.00141242937853107,29166,0.00139518080989809
2,"South",17814,347,0.0194790614123723,710918,0.00102242947965719
2,"Southeast",27008,301,0.011144845971564,1079842,0.000630761310796983
2,"Southwest",12380,86,0.00694668820678514,496972,0.000737147782786068
2,"UpperMidwest",7278,131,0.0179994503984611,294650,0.00153914062978276
2,"West",18316,87,0.0047499454029264,739871,0.000501722606879514
3,"Alaska",744,7,0.00940860215053763,30395,0.0034981144951204
3,"Central",21797,384,0.0176171032710924,870426,0.000879857324388318
3,"Hawaii",2068,1,0.000483558994197292,83067,0.00047750181991577
3,"Northeast",19471,269,0.013815417800832,777759,0.00082598604332234
3,"NorthRockies",1584,12,0.00757575757575758,64016,0.0021521900341202
3,"Northwest",4430,23,0.00519187358916479,174341,0.00106608015358669
3,"Other",745,0,0,33427,0
3,"South",19856,381,0.0191881547139404,796584,0.000961375836460714
3,"Southeast",30851,346,0.0112151956176461,1229904,0.000591984474721218
3,"Southwest",14106,91,0.00645115553665107,561988,0.000665590044695165
3,"UpperMidwest",8568,102,0.0119047619047619,336271,0.00115675364745845
3,"West",20704,90,0.00434698608964451,828601,0.000451478175898327
4,"Alaska",769,5,0.00650195058517555,29409,0.0028620097555474
4,"Central",21132,285,0.0134866553094832,847595,0.000783539871078157
4,"Hawaii",2093,0,0,84050,0
4,"Northeast",19109,211,0.0110419174211105,760076,0.000746404925621461
4,"NorthRockies",1489,9,0.00604432505036938,60979,0.00198466762133136
4,"Northwest",4286,8,0.00186654223051797,170699,0.000651052394105822
4,"Other",756,2,0.00264550264550265,31738,0.00184701467635115
4,"South",19355,383,0.0197881684319297,772123,0.000988472817147582
4,"Southeast",29574,307,0.0103807398390478,1179869,0.000581953456578087
4,"Southwest",13032,73,0.00560159607120933,522881,0.000645604556216988
