"year","month","origin","weatherdelay"
2003,1,"JNU",NA
2003,1,"KTN",NA
2003,1,"PSG",NA
2003,1,"JNU",NA
2003,1,"ANC",NA
2003,1,"ANC",NA
2003,1,"AKN",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"ORD",NA
2003,1,"IND",NA
2003,1,"IND",NA
2003,1,"ORD",NA
2003,1,"BNA",NA
2003,1,"CMH",NA
2003,1,"ORD",NA
2003,1,"MCI",NA
2003,1,"MCI",NA
2003,1,"ORD",NA
2003,1,"MCI",NA
2003,1,"MDW",NA
2003,1,"MCI",NA
2003,1,"STL",NA
2003,1,"MDW",NA
2003,1,"STL",NA
2003,1,"BNA",NA
2003,1,"BNA",NA
2003,1,"IND",NA
2003,1,"MDW",NA
2003,1,"BNA",NA
2003,1,"MCI",NA
2003,1,"SDF",NA
2003,1,"STL",NA
2003,1,"MCI",NA
2003,1,"MDW",NA
2003,1,"STL",NA
2003,1,"MDW",NA
2003,1,"BNA",NA
2003,1,"BNA",NA
2003,1,"CMH",NA
2003,1,"MDW",NA
2003,1,"BNA",NA
2003,1,"MDW",NA
2003,1,"STL",NA
2003,1,"BNA",NA
2003,1,"CLE",NA
2003,1,"MCI",NA
2003,1,"STL",NA
2003,1,"MDW",NA
2003,1,"MDW",NA
2003,1,"CLE",NA
2003,1,"MCI",NA
2003,1,"MDW",NA
2003,1,"MEM",NA
2003,1,"MEM",NA
2003,1,"IND",NA
2003,1,"MCI",NA
2003,1,"MEM",NA
2003,1,"MEM",NA
2003,1,"MEM",NA
2003,1,"CMH",NA
2003,1,"MCI",NA
2003,1,"MEM",NA
2003,1,"MEM",NA
2003,1,"BNA",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CLE",NA
2003,1,"CVG",NA
2003,1,"IND",NA
2003,1,"MCI",NA
