"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Alaska",2003,6,109,0,0,4486,0,0.0275229357798165,0
"Alaska",2003,7,128,2,0.015625,4958,0.01086197363798,0.0369144683304407,0
"Alaska",2003,8,127,1,0.0078740157480315,4931,0.00777195499633497,0.023107047540848,0
"Alaska",2003,9,96,0,0,3697,0,0.03125,0
"Alaska",2003,10,110,0,0,3475,0,0.0272727272727273,0
"Alaska",2003,11,69,0,0,3151,0,0.0434782608695652,0
"Alaska",2003,12,85,0,0,3310,0,0.0352941176470588,0
"Alaska",2004,1,73,1,0.0136986301369863,3272,0.0135449564313602,0.0402467447424524,0
"Alaska",2004,2,75,1,0.0133333333333333,2903,0.0131599706669793,0.0391268758406127,0
"Alaska",2004,3,76,0,0,3151,0,0.0394736842105263,0
"Alaska",2004,4,72,0,0,3108,0,0.0416666666666667,0
"Alaska",2004,5,96,0,0,3557,0,0.03125,0
"Alaska",2004,6,123,0,0,4406,0,0.024390243902439,0
"Alaska",2004,7,116,0,0,4768,0,0.0258620689655172,0
"Alaska",2004,8,129,2,0.0155038759689922,4736,0.0107702410265481,0.0366135483810266,0
"Alaska",2004,9,107,1,0.00934579439252336,3700,0.00920966787951463,0.027396743436372,0
"Alaska",2004,10,99,0,0,3353,0,0.0303030303030303,0
"Alaska",2004,11,82,1,0.0121951219512195,3017,0.0120282527487416,0.035770497338753,0
"Alaska",2004,12,89,1,0.0112359550561798,3175,0.0110773553947786,0.0329475716299458,0
"Alaska",2005,1,79,1,0.0126582278481013,3182,0.0125001063752299,0.0371584363435519,0
"Alaska",2005,2,52,0,0,2857,0,0.0576923076923077,0
"Alaska",2005,3,90,0,0,3157,0,0.0333333333333333,0
"Alaska",2005,4,84,1,0.0119047619047619,3060,0.0117402261878617,0.0349156052329709,0
"Alaska",2005,5,96,0,0,3597,0,0.03125,0
"Alaska",2005,6,110,0,0,4491,0,0.0272727272727273,0
"Alaska",2005,7,120,0,0,4817,0,0.025,0
"Alaska",2005,8,120,0,0,4724,0,0.025,0
"Alaska",2005,9,88,0,0,3624,0,0.0340909090909091,0
"Alaska",2005,10,77,1,0.012987012987013,3332,0.012836075855321,0.0381457216634422,0
"Alaska",2005,11,83,1,0.0120481927710843,2985,0.0118795077155898,0.0353320278936404,0
"Alaska",2005,12,71,1,0.0140845070422535,3183,0.0139265366407917,0.0413805188582052,0
"Alaska",2006,1,95,1,0.0105263157894737,3074,0.0103623847823611,0.0308365899629014,0
"Alaska",2006,2,67,1,0.0149253731343284,2768,0.0147436307817064,0.0438228894664729,0
"Alaska",2006,3,71,1,0.0140845070422535,3192,0.0139269845649987,0.0413813967896509,0
"Alaska",2006,4,73,0,0,3081,0,0.0410958904109589,0
"Alaska",2006,5,82,1,0.0121951219512195,3559,0.0120538143686947,0.0358205981138611,0
"Alaska",2006,6,123,0,0,4357,0,0.024390243902439,0
"Alaska",2006,7,113,1,0.00884955752212389,4614,0.00874051993955331,0.0259809766036484,0
"Alaska",2006,8,122,0,0,4593,0,0.0245901639344262,0
"Alaska",2006,9,83,2,0.0240963855421687,3506,0.0167328524855621,0.0568927764138704,0
"Alaska",2006,10,82,1,0.0121951219512195,3192,0.0120374612139787,0.0357885459306178,0
"Alaska",2006,11,72,2,0.0277777777777778,2907,0.0192600035473377,0.0655273847305596,0
"Alaska",2006,12,86,3,0.0348837209302326,3071,0.0196211301694971,0.0733411360624468,0
"Alaska",2007,1,79,3,0.0379746835443038,3064,0.0213609625254717,0.0798421700942284,0
"Alaska",2007,2,65,0,0,2770,0,0.0461538461538462,0
"Alaska",2007,3,72,1,0.0138888888888889,3107,0.0137270186789845,0.0407938454996985,0
"Alaska",2007,4,84,1,0.0119047619047619,3026,0.0117383643697167,0.0349119560694066,0
"Alaska",2007,5,83,1,0.0120481927710843,3549,0.0119064745262873,0.0353848828426074,0
"Alaska",2007,6,112,1,0.00892857142857143,4376,0.00881357122818422,0.0262031710358125,0
"Alaska",2007,7,115,1,0.00869565217391304,4637,0.00858714686602015,0.0255264600313125,0
"Alaska",2007,8,131,0,0,4538,0,0.0229007633587786,0
"Alaska",2007,9,84,1,0.0119047619047619,3590,0.011764661760629,0.0349634989555947,0
"Alaska",2007,10,92,0,0,3203,0,0.0326086956521739,0
"Alaska",2007,11,61,0,0,2858,0,0.0491803278688525,0
"Alaska",2007,12,68,3,0.0441176470588235,3048,0.0248068512410717,0.092739075491324,0
"Alaska",2008,1,83,1,0.0120481927710843,3043,0.0118827452619663,0.0353383734845382,0
"Alaska",2008,2,67,0,0,2888,0,0.0447761194029851,0
"Alaska",2008,3,75,0,0,3117,0,0.04,0
"Alaska",2008,4,70,2,0.0285714285714286,3046,0.0198243238051709,0.0674271032295635,0
"Alaska",2008,5,77,0,0,3568,0,0.038961038961039,0
"Alaska",2008,6,101,0,0,4278,0,0.0297029702970297,0
"Alaska",2008,7,119,2,0.0168067226890756,4624,0.0116804197138771,0.0397003453282747,0
"Alaska",2008,8,112,1,0.00892857142857143,4455,0.00881562357886648,0.0262071936431497,0
"Alaska",2008,9,89,1,0.0112359550561798,3345,0.0110854704957584,0.0329634772278663,0
"Alaska",2008,10,75,1,0.0133333333333333,3078,0.0131698884042525,0.0391463146056682,0
"Alaska",2008,11,69,0,0,2715,0,0.0434782608695652,0
"Alaska",2008,12,69,1,0.0144927536231884,2809,0.0143136476109406,0.0425475029406319,0
"Alaska",2009,1,59,1,0.0169491525423729,2798,0.0167695013725954,0.0498173752326598,0
"Alaska",2009,2,66,0,0,2570,0,0.0454545454545455,0
"Alaska",2009,3,71,2,0.028169014084507,2856,0.0195283555076452,0.0664445908794916,0
"Alaska",2009,4,75,0,0,2738,0,0.04,0
"Alaska",2009,5,83,1,0.0120481927710843,3281,0.0118948240462627,0.0353620479017591,0
"Alaska",2009,6,99,1,0.0101010101010101,3940,0.00997329919902354,0.0296486765310962,0
"Alaska",2009,7,107,0,0,4213,0,0.0280373831775701,0
"Alaska",2009,8,93,3,0.032258064516129,4056,0.0182082447684997,0.0679462242623884,0
"Alaska",2009,9,90,0,0,3205,0,0.0333333333333333,0
"Alaska",2009,10,98,2,0.0204081632653061,3038,0.0141227233553881,0.0480887010418668,0
"Alaska",2009,11,77,0,0,2741,0,0.038961038961039,0
"Alaska",2009,12,91,1,0.010989010989011,2836,0.010811268886973,0.0321790980074781,0
"Alaska",2010,1,75,1,0.0133333333333333,2822,0.0131549609006991,0.0391170566987035,0
